#Relacoes 	Aliado				Boas						Mas
IAG 		IME,IF				IME,IGC,IO					POLI
IF 			IAG,IME				IQ							FAU,POLI	 	
IO 			BIO 				IAG,IGC,IME,BIO,IQ			0
IME 		IAG,IF				IAG,IF,IGC,IO				POLI
FAU 		ECA 				ECA,FFLCH,IGC				POLI
IGC 		IQ					IAG,IME,IO,FAU				POLI
BIO 		FARMA,IO,VET		IQ,IO,BIOMED				POLI
IQ 			FARMA,IGC			FARMA,IF					POLI
FFLCH		ECA 				ECA,FAU,PSICO				POLI,FEA,REITOR
PEDAGO		EFEE				EFEE						POLI
ECA 		FAU,FFLCH			FFLCH,FAU					POLI,FEA,REITOR
FEA			RI,REITOR			REITOR,POLI					FAU,SANFRAN						
POLI		ODONTO				FEA,ODONTO,MED,SANFRAN		FFLCH,FAU,ECA,PSICOS,PEDAGO
CM			REITOR				IAG,IF,IQ,BIO 				POLI		
RI			FEA					FEA 						0				
VET			MED,FOFITO,BIO 		FOFITO,BIO 					POLI
FOFITO		VET					0							0
ODONTO		POLI				0							0
FARMA		BIO,IQ				0							0
BIOMED	 	0					0							0	
PSICO		0					0							0
EFEE		PEDAGO				0							0
MED			VET					0							0
ENF  		0					0							0
SANFRAN		0					0							0
EACH		0					0							0
REITOR		FEA,CM				0							0
